team_1_id,team_1_home_goals,team_1_away_goals,team_1_home_received_goals,team_1_away_received_goals,team_1_home_w,team_1_home_t,team_1_home_l,team_1_away_w,team_1_away_t,team_1_away_l,team_2_id,team_2_home_goals,team_2_away_goals,team_2_home_received_goals,team_2_away_received_goals,team_2_home_w,team_2_home_t,team_2_home_l,team_2_away_w,team_2_away_t,team_2_away_l,match_season,matchday,winner,match_home_goals,match_away_goals
88,0,5,6,2,0,0,1,1,0,2,559,1,4,2,0,1,0,0,1,1,0,635,4,HOME,1,0
109,22,13,8,9,8,1,0,6,2,1,584,6,8,16,11,2,3,4,2,1,6,530,17,AWAY,1,2
103,15,14,17,15,3,4,3,3,2,5,586,10,16,16,12,4,2,4,4,1,5,530,19,HOME,1,0
65,30,15,4,5,8,0,0,5,2,1,346,11,9,10,13,4,0,4,2,3,3,151,15,AWAY,1,2
104,22,16,17,19,5,2,5,3,6,3,107,12,15,28,15,4,1,6,1,6,6,530,23,HOME,1,0
14,14,8,36,16,3,5,6,0,2,11,19,31,23,14,16,8,3,3,6,4,3,155,26,HOME,1,0
328,7,6,15,12,1,1,4,1,2,4,338,8,10,11,6,2,2,2,3,1,3,151,12,TIE,0,0
89,24,13,39,20,8,3,7,1,2,14,78,26,21,16,10,11,5,1,5,10,3,519,34,HOME,3,0
559,10,11,10,7,4,2,2,5,2,2,79,13,9,11,9,3,4,1,2,4,3,519,16,TIE,1,1
263,9,5,16,2,4,2,1,0,1,5,79,11,5,7,6,3,3,0,1,4,2,519,12,HOME,4,2
356,21,14,19,14,9,3,5,4,9,4,328,22,16,26,20,8,3,6,6,4,7,468,33,TIE,1,1
65,37,19,7,10,10,0,1,6,2,2,340,11,10,21,17,1,5,4,2,2,7,151,20,AWAY,1,3
86,40,28,12,11,15,4,0,11,4,3,83,22,26,29,16,9,3,6,6,5,8,519,36,AWAY,1,2
80,15,12,26,31,2,5,11,3,4,11,81,51,29,22,14,16,2,0,8,5,5,519,35,HOME,1,0
9,11,8,11,9,3,2,1,1,3,2,24,8,5,17,11,2,0,4,0,3,3,155,11,HOME,4,1
102,18,29,20,10,4,3,3,5,2,4,470,6,10,21,21,0,5,5,2,2,7,290,20,AWAY,0,5
80,15,12,21,16,7,0,4,1,4,7,94,13,10,14,17,1,6,5,2,5,4,281,22,TIE,2,2
3,8,6,8,5,2,3,0,2,0,2,19,10,6,9,5,3,2,0,1,0,3,474,8,HOME,3,0
110,18,10,9,12,5,3,2,4,2,3,103,7,8,18,11,2,3,4,0,4,6,290,18,AWAY,0,2
65,55,30,9,12,16,0,1,11,2,3,63,19,11,44,32,4,3,9,0,2,15,151,32,AWAY,0,2
24,20,16,29,22,7,0,7,3,4,6,11,22,22,21,20,5,4,4,7,2,5,155,26,HOME,5,2
24,10,11,26,20,3,2,6,1,3,7,11,12,16,15,13,3,5,3,5,2,4,474,21,TIE,1,1
57,26,14,19,20,7,5,3,2,8,4,65,36,35,19,12,10,2,2,9,1,5,468,28,HOME,3,0
10,3,6,15,11,2,1,3,1,1,5,3,9,10,12,13,2,1,3,2,2,3,155,12,HOME,2,0
4,46,38,24,17,11,3,3,10,3,4,721,38,43,16,21,7,8,2,11,4,2,474,33,AWAY,0,2
83,18,17,24,9,9,2,3,3,3,8,88,19,14,29,12,7,3,3,3,1,11,519,27,TIE,1,1
77,4,3,7,2,2,0,1,1,0,4,250,5,2,7,7,1,2,2,0,1,3,635,9,HOME,2,1
19,21,10,16,14,5,3,2,2,0,7,2,15,14,9,21,4,1,5,5,2,2,474,18,AWAY,1,2
88,7,4,3,11,1,1,2,1,0,2,250,2,4,3,3,1,0,2,1,3,0,281,6,HOME,2,1
9,8,5,5,3,3,1,0,1,2,1,15,3,1,7,1,2,2,0,0,1,3,155,7,TIE,0,0
354,4,9,15,8,1,2,4,2,1,6,397,12,7,14,8,4,2,1,2,1,6,151,15,HOME,3,1
11,8,6,3,12,1,2,3,2,1,1,24,4,2,14,10,1,0,4,0,2,3,155,9,AWAY,0,3
584,15,20,18,8,5,2,2,3,4,4,109,22,19,6,5,10,1,0,8,1,0,290,19,HOME,2,1
29,7,4,9,13,1,0,4,0,1,3,1,4,5,11,8,1,0,3,1,1,3,474,8,HOME,3,0
87,23,11,24,30,4,5,7,3,1,11,278,28,13,25,18,8,5,3,1,7,7,281,30,HOME,2,1
250,14,9,20,13,3,7,3,3,4,7,92,27,18,21,12,8,2,3,6,2,6,519,26,HOME,1,0
65,36,35,17,12,10,2,2,9,1,4,338,26,28,13,15,8,3,3,7,2,5,468,27,AWAY,0,1
11,13,11,6,14,3,3,3,4,1,2,14,9,5,27,10,2,3,3,0,2,6,155,15,AWAY,0,2
10,10,7,24,20,3,2,5,1,1,8,5,19,25,12,11,5,3,1,8,0,3,155,19,HOME,4,1
100,43,23,22,26,12,5,2,6,7,6,471,33,20,27,33,5,10,4,4,6,9,290,37,TIE,0,0
19,3,4,7,2,1,1,0,1,1,1,1,4,1,2,7,0,1,2,0,1,1,599,4,TIE,1,1
16,2,3,1,0,1,0,0,1,0,0,28,1,1,1,3,0,0,1,0,1,0,599,1,AWAY,1,3
66,37,19,19,14,10,5,2,5,5,6,397,19,16,25,19,5,6,5,3,6,8,468,32,AWAY,0,3
5890,15,12,24,18,1,5,5,3,2,6,450,15,11,12,11,5,3,3,3,4,4,530,21,HOME,3,0
745,5,3,11,4,2,1,1,0,1,5,95,4,3,4,4,0,5,0,1,3,1,281,9,TIE,1,1
2,14,11,9,19,4,1,4,4,2,2,28,12,8,13,11,5,0,4,1,2,5,474,16,AWAY,0,2
586,9,13,14,12,3,2,4,3,1,4,450,10,7,10,10,3,3,3,2,2,4,530,16,TIE,3,3
66,28,30,22,20,8,5,2,9,2,5,57,37,27,30,12,13,2,1,5,4,6,151,30,HOME,2,0
98,7,5,7,10,2,2,3,2,0,4,109,13,10,4,6,6,0,0,5,2,0,530,12,HOME,1,0
